projects,ant,camel,ivy,jedit,log4j,lucene,poi,velocity,xalan,xerces
ant,0.0,0.10122358521986247,0.3957240229490511,0.5819840624660201,0.10905926713719424,0.17855874174700195,0.1319011867085426,0.0834588168138022,0.2570461753951205,0.22175754895947736
camel,0.40161079669133654,0.0,0.3425047078599143,0.5175968716672591,0.2541528843008251,0.2181126729055591,0.22004324749361115,0.17786255901568984,0.2449380904187013,0.22290739616919178
ivy,0.2228200127951163,0.04179704997632776,0.0,0.28128964253540634,0.030303030303030304,0.0914036996735582,0.06828142642367802,0.06330218557267102,0.14351035563260955,0.14434296299250635
jedit,0.143112400916188,0.051989408174724444,0.11102559168751203,0.0,0.0,0.004555808656036446,0.02513966480446927,0.016216216216216214,0.06531835130880227,0.024168295657182773
log4j,0.25078597623129767,0.3388874506644838,0.2118877270225647,0.23475978715552445,0.0,0.35132545512615787,0.3088302588838961,0.35405531441690286,0.3822018809935504,0.49427856989087066
lucene,0.46885366752672325,0.5208211175760658,0.5371186698315074,0.4831822020835499,0.64,0.0,0.5652259243044129,0.5501627281731994,0.46784297492835397,0.5546585795071192
poi,0.6478172288838084,0.5619753277774241,0.6486875304324731,0.6106937226061256,0.62124248496994,0.6342792420485505,0.0,0.5139445445499287,0.5449971114885016,0.5443076249942521
velocity,0.5509195023418755,0.5091025509161945,0.45126563488273036,0.4612208328464026,0.5181413112667091,0.4814228024825187,0.42258919730411737,0.0,0.4897535641443754,0.537467236163418
xalan,0.6139481888243579,0.5346890003140048,0.5840743734842361,0.47014112078807085,0.5579937304075235,0.5799358216517481,0.5581443824258285,0.5322102489294621,0.0,0.5678469402100248
xerces,0.4202702501820993,0.3503867851231293,0.42127659574468085,0.39310625108164493,0.5402843601895735,0.5494748050622802,0.47556969286124007,0.4719274693344612,0.3969406193532307,0.0
