train,test,n,g,g_est
ant,camel,5,0.32530777365489,0.32530777365489
ant,ivy,6,0.46047046975037764,0.23023523487518882
ant,jedit,7,0.5633535859824992,0.18778452866083306
ant,log4j,8,0.22512110601084964,0.05628027650271241
ant,lucene,9,0.2881972934555246,0.057639458691104914
ant,poi,10,0.3233875174680054,0.05389791957800091
ant,velocity,11,0.1460564002998789,0.020865200042839843
ant,xalan,12,0.2707600692837341,0.03384500866046676
ant,xerces,13,0.17025268354118867,0.01891696483790985
camel,ant,5,0.13291861067910835,0.13291861067910835
camel,ivy,6,0.1108817457976998,0.17055849033644432
camel,jedit,7,0.4827323029956116,0.2861004534390926
camel,log4j,8,0.14222932481022774,0.07776753857959123
camel,lucene,9,0.13174345311586197,0.07246025757605631
camel,velocity,10,0.11273840264000079,0.0361774004757
camel,xalan,11,0.3685984412863342,0.08166692760701924
camel,xerces,12,0.20461674716088812,0.04212943762828213
camel,poi,13,0.11194672484069118,0.06801256947959884
ivy,ant,5,0.005697944989473505,0.005697944989473505
ivy,camel,6,0.038393418900213916,0.18185059627755196
ivy,jedit,7,0.0638691443953258,0.21202335042450363
ivy,log4j,8,0.06691449814126395,0.07505427847000941
ivy,lucene,9,0.04024668615594089,0.06601754329203323
ivy,poi,10,0.025129960368521283,0.06086546796108591
ivy,xalan,11,0.17165372574476853,0.09452218448384056
ivy,xerces,12,0.11245004911744179,0.05091951406442709
ivy,velocity,24,0.21278237225624957,0.08280265842883541
jedit,ant,5,0.2991200589871134,0.2991200589871134
jedit,camel,6,0.031521170935703086,0.10668588360662752
jedit,ivy,7,0.1691074150155722,0.1700747985628203
jedit,log4j,8,0.030303030303030304,0.06386646642826463
jedit,velocity,9,0.05819480912454002,0.07788108856797633
jedit,lucene,10,0.057649667405764965,0.06816853996727994
jedit,poi,11,0.049649636422946855,0.06098726047678854
jedit,xalan,14,0.08678820591016785,0.0945122516285046
jedit,xerces,19,0.056450599289786706,0.05798006991871096
log4j,ant,5,0.3021570610043815,0.3021570610043815
log4j,lucene,6,0.3807029970853606,0.22443576852632027
log4j,camel,7,0.39767792740333474,0.23325536397110994
log4j,ivy,8,0.29217653985971026,0.21449378839919164
log4j,poi,9,0.2893984893287779,0.10666950624718641
log4j,jedit,10,0.4268109477077158,0.29999236026320913
log4j,velocity,11,0.4260380545124603,0.1276177979886169
log4j,xalan,12,0.4055047803846266,0.13338631772301984
log4j,xerces,13,0.417269011240996,0.09790106339896486
lucene,ant,5,0.6577978332353531,0.6577978332353531
lucene,camel,6,0.5725538862215717,0.4029046250963408
lucene,ivy,7,0.5838067565809446,0.3375981111264426
lucene,jedit,8,0.5077130414443713,0.3519225305584997
lucene,log4j,9,0.6256281815668353,0.17621880945597876
lucene,poi,10,0.5791169048643494,0.1854107393500469
lucene,velocity,11,0.5834071300255548,0.19273055970817943
lucene,xalan,12,0.5504083095599956,0.1855140667026418
lucene,xerces,13,0.5344765987852804,0.14640945621966658
poi,ant,5,0.5659126277092401,0.5659126277092401
poi,camel,6,0.5385767229967173,0.4707406740465291
poi,ivy,7,0.6440677966101694,0.43975467295435156
poi,jedit,8,0.5853958136214995,0.4102908513242497
poi,log4j,9,0.6073277378499272,0.2624405951347685
poi,lucene,10,0.6225554940138894,0.2907890561075818
poi,velocity,11,0.4966782231482589,0.23615165448533365
poi,xalan,12,0.5266848710434466,0.22816041724524241
poi,xerces,13,0.46596584152296633,0.18191572125336655
velocity,ant,5,0.6846089150546677,0.6846089150546677
velocity,camel,6,0.5829373720924513,0.5268390230694902
velocity,ivy,7,0.6522719948436997,0.5105937802508009
velocity,jedit,8,0.5771097631393893,0.45199557927803463
velocity,log4j,9,0.6068898118739311,0.33133043848260096
velocity,lucene,10,0.6164573715982825,0.3450671086893653
velocity,poi,11,0.5698817782366199,0.24033517347670016
velocity,xalan,12,0.5076478585995922,0.26309634741453614
velocity,xerces,13,0.5516491522278504,0.22299721358386476
xalan,ant,5,0.4657302777484423,0.4657302777484423
xalan,camel,6,0.51414766342375,0.5204933432466201
xalan,ivy,7,0.4837103582638814,0.5016326395884945
xalan,log4j,8,0.45610397894904714,0.3625238235992125
xalan,lucene,9,0.478597850977629,0.37177325714701803
xalan,poi,10,0.43635056502886926,0.27300440540206167
xalan,velocity,11,0.5031128151201854,0.2742889631474553
xalan,xerces,12,0.5015459224604956,0.25781580219344363
xalan,jedit,15,0.5021313731413419,0.4713456038859222
xerces,ant,5,0.3967052537845057,0.3967052537845057
xerces,camel,6,0.4692743230848859,0.494883833165753
xerces,ivy,7,0.5646461107217939,0.522637129966261
xerces,jedit,8,0.4458968329108512,0.46498341114215447
xerces,log4j,9,0.5277269487836355,0.3955644486360971
xerces,lucene,10,0.5580605170118004,0.4028211337911484
xerces,poi,11,0.5456215872649005,0.3119497170967529
xerces,velocity,12,0.5468134605872979,0.3083545253274356
xerces,xalan,13,0.5572032344420405,0.29577489041759214
