g,n
0.041768104,5.0
0.332856094,6.0
0.460787041,7.0
0.081180812,8.0
0.124151916,9.0
0.1192738455,10.0
0.105587627,11.0
0.240768745,12.0
0.16000489199999998,13.0
0.22148723,5.0
0.24742268,6.0
0.2803202895,7.0
0.164765163,8.0
0.1456417385,9.0
0.10278682750000001,10.0
0.14124055549999998,11.0
0.2503715435,12.0
0.2127741065,13.0
0.09081165649999999,5.0
0.017636334,6.0
0.07614152,7.0
0.0523071285,8.0
0.07676134200000001,9.0
0.121922534,10.0
0.122563426,11.5
0.178137716,12.0
0.1692262975,12.5
0.307642248,5.0
0.094874359,6.0
0.18300308699999998,7.0
0.037735849,8.0
0.048997773,9.0
0.033378862999999995,10.0
0.037433155,8.0
0.076625985,12.5
0.044836913,12.0
0.484669415,5.0
0.519864086,6.0
0.455852508,7.0
0.513879027,8.0
0.552358351,9.0
0.41578616,10.0
0.534505719,11.0
0.45982974,12.0
0.543264362,13.0
0.49991969850000006,5.0
0.5660493925,6.0
0.5435872660000001,7.0
0.573613954,8.0
0.55508068,9.0
0.546200202,10.0
0.53654324,11.0
0.514815467,12.0
0.540680982,13.0
0.629735656,5.0
0.5727025514999999,6.0
0.6153392755,7.0
0.6354534805000001,8.0
0.6021884040000001,9.0
0.6028905904999999,10.0
0.53177833,11.0
0.534442943,12.0
0.492189297,13.0
0.5341799195,5.0
0.5139205570000001,6.0
0.444604818,7.0
0.387749886,9.0
0.45289656699999997,7.0
0.4288876975,10.0
0.383928734,11.0
0.4872695555,12.0
0.5218410645,13.0
0.6165436355,5.0
0.47429125,6.0
0.590997096,7.0
0.5456031545,8.0
0.489512205,8.5
0.5835090169999999,10.0
0.5589698025000001,11.0
0.568100001,12.0
0.530335487,13.0
0.625507644,5.0
0.5158729394999999,7.5
0.5670124255,7.0
0.5384594604999999,8.0
0.508067911,8.0
0.5319451435,9.5
0.5215332994999999,11.0
0.548833566,12.0
0.464026781,13.0
